id,station_id,alarm_id,parameter_id,start_time,end_time,value,threshold
10167721,1161114059,309,121,2017-10-23 12:00:25,2017-10-23 12:00:26,199,200
10167766,1161115015,323,1,2017-10-23 12:17:18,2017-10-23 12:17:36,999999,999999
10167765,1161114059,323,1,2017-10-23 12:17:08,2017-10-23 12:18:12,999999,999999
10167768,1161114059,310,122,2017-10-23 12:12:26,2017-10-23 12:12:31,31.5,30
10167764,1161114071,308,121,2017-10-23 12:10:42,2017-10-23 12:15:30,241,240
10167774,1161115022,319,153,2017-10-23 12:20:44,2017-10-23 12:20:51,999991,1
10167773,1161114026,323,1,2017-10-23 12:19:39,2017-10-23 12:20:35,999999,999999
10167733,1161114027,308,121,2017-10-23 12:04:38,2017-10-23 12:05:08,241,240
10167738,1161114060,308,121,2017-10-23 12:08:43,2017-10-23 12:08:45,241,240
10167737,1161114027,308,121,2017-10-23 12:05:16,2017-10-23 12:06:02,241,240
10167673,1161115040,323,1,2017-10-23 11:51:30,2017-10-23 12:25:22,999999,999999
10167672,1161115030,308,121,2017-10-23 11:50:03,2017-10-23 12:25:27,241,240
10167727,1161115028,309,121,2017-10-23 12:02:32,2017-10-23 12:02:42,199,200
10167729,1161114071,308,121,2017-10-23 12:01:43,2017-10-23 12:01:48,241,240
10167731,1161114027,308,121,2017-10-23 12:04:03,2017-10-23 12:04:21,241,240
10167732,1161114027,308,121,2017-10-23 12:04:25,2017-10-23 12:04:35,241,240
10167734,1161114059,323,1,2017-10-23 12:07:40,2017-10-23 12:08:24,999999,999999
10167745,1161114027,308,121,2017-10-23 12:06:05,2017-10-23 12:06:20,241,240
10167750,1161114002,312,143,2017-10-23 12:09:26,2017-10-23 12:09:26,28.5,28
10167751,1161114059,309,121,2017-10-23 12:07:35,2017-10-23 12:08:17,199,200
